IP,Acuracia,TempoReacao,APM,TaxaErros,IPRepetido,JaFoiSuspeito,Inventario,AcoesBots,Classe
192.168.162.238,60,290,31,31,1,1,"Poção, Colar, Mapa, Anel",1,Suspeito
192.168.27.239,75,315,78,20,0,1,"Espada, Martelo, Poção, Lança",1,Suspeito
192.168.176.18,65,457,139,12,0,1,"Chave, Anel, Martelo, Adaga",0,Suspeito
192.168.77.181,71,425,119,43,0,0,"Luvas, Mapa, Elmo, Tomo",1,Suspeito
192.168.18.149,82,281,95,35,0,1,"Luvas, Elmo, Lança, Armadura",0,Legítimo
192.168.89.159,88,235,94,27,1,1,"Cristal, Flecha, Mapa, Adaga",0,Suspeito
192.168.12.223,61,275,72,31,0,1,"Lança, Espada, Armadura, Foco",1,Suspeito
192.168.249.248,70,477,92,4,1,0,"Elmo, Mapa, Espada, Martelo",1,Suspeito
192.168.192.34,63,375,109,24,1,1,"Poção, Martelo, Chave, Botas",1,Suspeito
192.168.194.7,60,360,80,9,0,0,"Colar, Armadura, Mapa, Cristal",0,Legítimo
192.168.6.83,89,379,116,10,0,0,"Anel, Foco, Mapa, Adaga",1,Suspeito
192.168.125.197,96,310,134,33,0,0,"Colar, Martelo, Flecha, Cristal",1,Suspeito
192.168.175.114,68,442,48,46,0,0,"Cristal, Adaga, Luvas, Arco",1,Suspeito
192.168.70.255,88,357,84,20,1,1,"Chave, Lança, Mapa, Elmo",0,Suspeito
192.168.109.116,95,235,79,10,0,1,"Anel, Chave, Botas, Adaga",1,Suspeito
192.168.42.203,93,238,113,33,1,1,"Lança, Botas, Adaga, Espada",1,Suspeito
192.168.177.57,59,361,60,44,1,1,"Escudo, Espada, Mapa, Armadura",1,Suspeito
192.168.22.174,98,481,107,38,1,1,"Adaga, Mapa, Botas, Joia",0,Suspeito
192.168.167.70,69,292,136,44,1,1,"Elmo, Chave, Poção, Espada",1,Suspeito
192.168.243.39,67,461,80,27,0,0,"Arco, Elmo, Lança, Luvas",0,Legítimo
192.168.111.241,53,429,140,38,0,1,"Flecha, Cristal, Escudo, Poção",1,Suspeito
192.168.108.163,74,274,150,7,0,1,"Botas, Joia, Chave, Mapa",0,Suspeito
192.168.102.70,55,210,42,17,0,1,"Tomo, Cristal, Luvas, Botas",0,Suspeito
192.168.251.105,62,230,58,19,1,1,"Poção, Botas, Armadura, Martelo",1,Suspeito
192.168.228.59,66,419,144,26,1,1,"Botas, Poção, Armadura, Escudo",0,Suspeito
192.168.55.8,91,260,145,47,0,0,"Foco, Poção, Flecha, Chave",0,Legítimo
192.168.167.94,94,311,41,44,0,0,"Adaga, Poção, Armadura, Escudo",0,Legítimo
192.168.221.121,65,351,31,6,0,1,"Flecha, Espada, Martelo, Tomo",0,Suspeito
192.168.247.48,93,418,49,8,1,0,"Luvas, Foco, Arco, Elmo",1,Suspeito
192.168.222.199,93,234,150,18,1,1,"Mapa, Escudo, Chave, Anel",1,Suspeito
192.168.197.216,88,322,51,14,1,0,"Mapa, Armadura, Lança, Cristal",1,Suspeito
192.168.195.160,57,346,90,31,1,0,"Chave, Flecha, Joia, Escudo",0,Suspeito
192.168.34.9,85,362,132,46,0,1,"Escudo, Luvas, Tomo, Mapa",1,Suspeito
192.168.235.158,98,446,32,49,0,0,"Anel, Espada, Botas, Flecha",0,Legítimo
192.168.204.123,84,251,103,33,0,1,"Anel, Adaga, Escudo, Foco",1,Suspeito
192.168.30.32,66,443,63,42,0,0,"Anel, Tomo, Luvas, Arco",0,Legítimo
192.168.175.110,75,408,134,26,1,0,"Flecha, Foco, Arco, Luvas",1,Suspeito
192.168.52.126,82,367,64,10,1,1,"Foco, Cristal, Botas, Armadura",1,Suspeito
192.168.17.149,76,410,113,26,1,0,"Armadura, Joia, Lança, Anel",0,Suspeito
192.168.69.204,56,324,111,28,0,1,"Elmo, Colar, Poção, Tomo",0,Suspeito
192.168.80.117,65,241,56,37,0,1,"Mapa, Poção, Joia, Foco",1,Suspeito
192.168.3.19,90,400,34,11,0,0,"Lança, Adaga, Flecha, Foco",0,Legítimo
192.168.101.123,93,357,79,18,1,1,"Anel, Arco, Martelo, Luvas",0,Suspeito
192.168.154.75,57,392,64,18,1,1,"Escudo, Armadura, Espada, Cristal",0,Suspeito
192.168.178.220,98,301,127,48,0,0,"Cristal, Escudo, Joia, Espada",1,Suspeito
192.168.199.11,66,472,126,22,1,0,"Luvas, Colar, Lança, Espada",1,Suspeito
192.168.123.27,83,376,85,38,1,0,"Lança, Joia, Botas, Anel",0,Suspeito
192.168.62.252,88,225,103,38,0,1,"Espada, Botas, Martelo, Tomo",0,Suspeito
192.168.37.128,91,335,103,13,1,1,"Anel, Cristal, Escudo, Poção",1,Suspeito
192.168.158.180,98,427,130,29,0,1,"Poção, Espada, Adaga, Tomo",1,Suspeito
192.168.143.3,65,439,81,45,1,1,"Cristal, Botas, Foco, Elmo",0,Suspeito
192.168.84.133,93,348,63,24,1,1,"Martelo, Elmo, Cristal, Poção",1,Suspeito
192.168.23.90,56,469,62,48,1,1,"Espada, Luvas, Mapa, Botas",0,Suspeito
192.168.9.21,85,280,94,10,0,1,"Chave, Cristal, Anel, Lança",0,Legítimo
192.168.102.34,87,323,84,3,0,0,"Mapa, Flecha, Armadura, Arco",1,Legítimo
192.168.145.176,84,470,83,45,0,1,"Adaga, Mapa, Armadura, Joia",1,Suspeito
192.168.205.52,62,469,41,43,0,1,"Joia, Adaga, Lança, Colar",0,Suspeito
192.168.43.27,94,406,116,50,1,1,"Adaga, Cristal, Escudo, Arco",0,Suspeito
192.168.163.181,58,458,55,34,1,1,"Anel, Adaga, Joia, Mapa",0,Suspeito
192.168.9.239,52,226,53,47,0,0,"Joia, Elmo, Foco, Luvas",0,Legítimo
192.168.14.139,86,460,79,42,0,1,"Martelo, Tomo, Espada, Poção",0,Suspeito
192.168.181.223,74,296,57,43,0,0,"Mapa, Cristal, Armadura, Anel",0,Legítimo
192.168.183.205,93,253,100,29,0,1,"Lança, Luvas, Martelo, Poção",1,Suspeito
192.168.87.208,69,272,74,19,0,0,"Elmo, Lança, Martelo, Anel",1,Suspeito
192.168.21.229,58,325,84,47,0,1,"Adaga, Mapa, Botas, Luvas",1,Suspeito
192.168.140.209,92,275,94,22,1,1,"Martelo, Espada, Mapa, Joia",1,Suspeito
192.168.116.165,77,296,54,27,0,1,"Lança, Joia, Colar, Luvas",0,Suspeito
192.168.135.187,59,240,48,22,1,0,"Mapa, Luvas, Poção, Armadura",0,Suspeito
192.168.21.16,86,289,136,28,1,1,"Foco, Armadura, Chave, Escudo",0,Suspeito
192.168.64.41,76,372,82,23,0,1,"Armadura, Foco, Espada, Poção",1,Suspeito
192.168.223.56,80,332,79,2,1,1,"Arco, Chave, Escudo, Elmo",0,Suspeito
192.168.249.86,73,304,34,44,1,0,"Espada, Tomo, Luvas, Botas",1,Suspeito
192.168.47.202,92,424,90,22,1,1,"Martelo, Arco, Cristal, Tomo",1,Suspeito
192.168.168.128,92,468,97,30,0,0,"Poção, Adaga, Flecha, Foco",0,Legítimo
192.168.142.184,86,427,97,7,0,1,"Colar, Botas, Arco, Elmo",0,Legítimo
192.168.59.255,55,299,115,0,1,0,"Foco, Mapa, Chave, Martelo",1,Suspeito
192.168.249.166,92,424,51,12,1,1,"Cristal, Martelo, Escudo, Armadura",1,Suspeito
192.168.51.174,84,245,60,35,0,1,"Luvas, Elmo, Chave, Poção",1,Suspeito
192.168.19.8,85,239,128,5,0,0,"Martelo, Poção, Foco, Espada",0,Legítimo
192.168.66.118,68,304,144,46,0,0,"Elmo, Martelo, Anel, Adaga",1,Suspeito
192.168.222.186,94,443,46,10,0,1,"Elmo, Adaga, Lança, Foco",0,Legítimo
192.168.190.109,86,274,90,10,1,0,"Mapa, Botas, Elmo, Foco",1,Suspeito
192.168.89.95,55,219,55,9,0,1,"Mapa, Lança, Cristal, Armadura",1,Suspeito
192.168.252.11,70,239,37,0,0,0,"Elmo, Cristal, Joia, Botas",1,Suspeito
192.168.222.148,95,458,69,39,1,0,"Joia, Armadura, Martelo, Chave",0,Suspeito
192.168.112.185,52,390,47,44,0,0,"Chave, Lança, Tomo, Martelo",1,Suspeito
192.168.125.223,99,276,115,31,1,1,"Botas, Joia, Adaga, Flecha",0,Suspeito
192.168.230.108,84,367,94,9,1,0,"Anel, Adaga, Escudo, Cristal",0,Legítimo
192.168.71.152,82,358,47,14,0,1,"Poção, Martelo, Colar, Lança",0,Legítimo
192.168.233.54,63,397,31,24,1,1,"Mapa, Armadura, Joia, Arco",1,Suspeito
192.168.159.162,62,270,127,48,1,0,"Espada, Mapa, Tomo, Arco",1,Suspeito
192.168.187.34,98,460,51,12,0,1,"Foco, Adaga, Joia, Anel",0,Legítimo
192.168.183.232,65,293,103,37,0,0,"Adaga, Anel, Armadura, Foco",1,Suspeito
192.168.46.61,89,408,70,22,1,1,"Adaga, Espada, Flecha, Arco",0,Suspeito
192.168.248.47,70,204,100,15,1,0,"Joia, Luvas, Tomo, Mapa",0,Legítimo
192.168.218.126,57,312,68,23,1,0,"Cristal, Lança, Elmo, Arco",0,Suspeito
192.168.64.223,50,305,40,3,0,1,"Anel, Foco, Mapa, Adaga",1,Suspeito
192.168.114.132,77,363,56,40,1,1,"Elmo, Colar, Adaga, Poção",1,Suspeito
192.168.92.152,99,221,52,12,0,0,"Luvas, Joia, Chave, Adaga",0,Legítimo
192.168.42.100,68,437,81,36,1,1,"Martelo, Escudo, Anel, Cristal",1,Suspeito
192.168.248.66,68,265,109,3,1,0,"Martelo, Flecha, Mapa, Tomo",0,Suspeito
192.168.168.83,67,403,61,48,1,1,"Cristal, Poção, Lança, Escudo",1,Suspeito
192.168.198.34,76,441,31,9,1,1,"Cristal, Poção, Chave, Mapa",0,Suspeito
192.168.248.116,72,369,92,45,1,0,"Martelo, Anel, Cristal, Chave",1,Suspeito
192.168.61.19,94,423,103,41,1,0,"Joia, Escudo, Arco, Cristal",1,Suspeito
192.168.44.133,75,399,146,49,0,0,"Tomo, Poção, Adaga, Foco",1,Suspeito
192.168.86.212,75,307,101,24,1,0,"Flecha, Mapa, Espada, Tomo",0,Suspeito
192.168.110.64,57,443,87,37,1,0,"Cristal, Elmo, Foco, Tomo",1,Suspeito
192.168.158.181,100,288,99,18,0,1,"Lança, Armadura, Cristal, Botas",0,Legítimo
192.168.43.43,62,371,142,9,0,1,"Botas, Mapa, Espada, Flecha",1,Suspeito
192.168.10.188,53,424,130,22,0,0,"Botas, Arco, Mapa, Luvas",0,Suspeito
192.168.170.122,83,314,69,8,1,1,"Adaga, Chave, Anel, Foco",0,Suspeito
192.168.216.206,80,291,58,50,1,1,"Espada, Armadura, Poção, Luvas",1,Suspeito
192.168.150.222,71,338,61,4,0,1,"Adaga, Elmo, Anel, Arco",1,Suspeito
192.168.53.29,71,446,91,30,1,1,"Lança, Escudo, Chave, Anel",0,Suspeito
192.168.69.15,90,479,120,31,0,1,"Cristal, Elmo, Joia, Flecha",1,Suspeito
192.168.136.239,59,364,90,27,1,0,"Luvas, Lança, Chave, Adaga",1,Suspeito
192.168.11.32,91,399,38,33,0,0,"Foco, Tomo, Arco, Armadura",1,Suspeito
192.168.116.239,83,471,117,5,0,0,"Armadura, Foco, Tomo, Adaga",0,Legítimo
192.168.81.130,71,229,127,28,0,0,"Espada, Mapa, Elmo, Lança",1,Suspeito
192.168.11.38,73,269,65,14,0,0,"Foco, Joia, Colar, Arco",0,Legítimo
192.168.252.247,63,413,110,47,1,1,"Botas, Flecha, Lança, Foco",0,Suspeito
192.168.2.243,88,447,81,38,1,0,"Espada, Lança, Mapa, Armadura",1,Suspeito
192.168.163.222,76,457,137,49,0,1,"Botas, Anel, Chave, Luvas",1,Suspeito
192.168.116.132,66,324,132,1,0,0,"Elmo, Anel, Martelo, Mapa",1,Suspeito
192.168.125.171,80,226,93,14,0,1,"Arco, Escudo, Chave, Joia",0,Legítimo
192.168.36.8,100,331,113,9,1,1,"Joia, Adaga, Luvas, Lança",0,Suspeito
192.168.79.180,72,269,136,0,1,0,"Escudo, Luvas, Espada, Elmo",0,Suspeito
192.168.52.172,96,287,89,12,0,0,"Lança, Elmo, Mapa, Flecha",0,Legítimo
192.168.248.24,67,432,67,34,1,1,"Armadura, Luvas, Tomo, Anel",0,Suspeito
192.168.172.114,52,222,121,11,0,0,"Joia, Espada, Mapa, Arco",0,Legítimo
192.168.222.46,60,449,56,25,1,0,"Joia, Martelo, Colar, Luvas",1,Suspeito
192.168.177.214,71,328,77,45,1,0,"Arco, Joia, Flecha, Lança",1,Suspeito
192.168.241.175,61,379,134,35,1,1,"Mapa, Poção, Arco, Anel",1,Suspeito
192.168.127.158,50,226,117,20,1,1,"Mapa, Poção, Adaga, Cristal",1,Suspeito
192.168.222.146,96,301,78,18,1,1,"Joia, Foco, Colar, Luvas",0,Suspeito
192.168.8.238,93,226,55,23,1,1,"Anel, Poção, Cristal, Mapa",0,Suspeito
192.168.176.173,87,489,73,9,1,1,"Colar, Espada, Anel, Botas",1,Suspeito
192.168.55.169,58,442,64,32,0,1,"Tomo, Foco, Botas, Arco",1,Suspeito
192.168.101.167,56,338,51,18,0,1,"Lança, Tomo, Flecha, Elmo",1,Suspeito
192.168.28.168,53,267,119,43,0,0,"Lança, Mapa, Martelo, Espada",0,Suspeito
192.168.255.13,86,480,60,38,1,0,"Espada, Elmo, Luvas, Adaga",0,Suspeito
192.168.250.104,97,303,84,31,0,1,"Cristal, Tomo, Espada, Escudo",1,Suspeito
192.168.223.200,71,248,76,18,0,1,"Martelo, Poção, Escudo, Botas",1,Suspeito
192.168.145.189,56,369,148,10,0,0,"Mapa, Colar, Lança, Luvas",1,Suspeito
192.168.225.104,76,484,77,39,0,0,"Colar, Elmo, Joia, Arco",1,Suspeito
192.168.84.171,67,201,39,24,1,1,"Flecha, Elmo, Joia, Mapa",1,Suspeito
192.168.207.195,69,271,40,11,1,1,"Chave, Luvas, Adaga, Mapa",1,Suspeito
192.168.204.112,81,482,101,9,1,0,"Tomo, Joia, Elmo, Lança",1,Suspeito
192.168.209.31,86,251,102,8,1,1,"Joia, Poção, Foco, Anel",1,Suspeito
192.168.139.2,55,234,80,39,1,1,"Lança, Armadura, Cristal, Anel",1,Suspeito
192.168.83.94,51,371,82,11,0,1,"Cristal, Adaga, Joia, Luvas",1,Suspeito
192.168.102.178,100,459,36,26,0,0,"Elmo, Joia, Foco, Armadura",1,Suspeito
192.168.100.115,61,343,92,23,1,0,"Poção, Joia, Elmo, Flecha",0,Suspeito
192.168.61.96,52,499,91,29,0,0,"Lança, Chave, Poção, Tomo",1,Suspeito
192.168.58.19,59,404,48,44,0,0,"Lança, Escudo, Colar, Adaga",1,Suspeito
192.168.154.171,51,222,42,44,1,1,"Tomo, Adaga, Cristal, Espada",0,Suspeito
192.168.158.119,69,498,44,23,0,0,"Chave, Espada, Anel, Poção",1,Suspeito
192.168.97.221,90,322,42,0,0,1,"Mapa, Elmo, Anel, Martelo",0,Legítimo
192.168.133.123,67,286,103,21,0,0,"Chave, Adaga, Colar, Escudo",1,Suspeito
192.168.7.88,72,367,53,30,0,0,"Arco, Botas, Joia, Escudo",1,Suspeito
192.168.97.102,84,291,60,28,0,1,"Espada, Poção, Luvas, Armadura",0,Legítimo
192.168.148.137,75,226,51,33,0,1,"Mapa, Escudo, Arco, Elmo",0,Suspeito
192.168.156.196,93,200,145,7,1,0,"Cristal, Tomo, Poção, Mapa",1,Suspeito
192.168.208.184,94,335,133,32,1,1,"Armadura, Tomo, Adaga, Arco",1,Suspeito
192.168.244.5,50,451,57,9,0,1,"Mapa, Chave, Martelo, Botas",0,Suspeito
192.168.50.2,89,372,69,38,1,1,"Elmo, Tomo, Foco, Colar",1,Suspeito
192.168.166.229,73,500,55,17,0,1,"Flecha, Espada, Foco, Arco",1,Suspeito
192.168.63.237,100,286,89,36,0,0,"Botas, Arco, Tomo, Flecha",1,Legítimo
192.168.16.239,74,284,32,2,0,1,"Colar, Botas, Joia, Mapa",0,Suspeito
192.168.90.26,100,248,111,20,1,1,"Joia, Colar, Armadura, Cristal",1,Suspeito
192.168.124.66,88,249,93,35,0,0,"Foco, Espada, Adaga, Arco",0,Legítimo
192.168.73.79,62,285,138,11,1,0,"Luvas, Anel, Botas, Adaga",1,Suspeito
192.168.205.138,77,438,49,40,1,1,"Foco, Botas, Chave, Elmo",1,Suspeito
192.168.80.156,100,472,127,32,1,0,"Anel, Foco, Elmo, Armadura",0,Suspeito
192.168.183.70,93,493,125,29,1,0,"Luvas, Foco, Lança, Elmo",1,Suspeito
192.168.106.32,54,269,45,18,1,1,"Armadura, Luvas, Poção, Flecha",0,Suspeito
192.168.47.174,86,465,78,24,0,0,"Espada, Escudo, Flecha, Foco",1,Suspeito
192.168.47.134,67,298,50,30,0,0,"Flecha, Cristal, Escudo, Martelo",1,Suspeito
192.168.181.28,50,233,60,24,1,1,"Lança, Chave, Elmo, Foco",1,Suspeito
192.168.145.66,70,461,61,35,1,1,"Armadura, Escudo, Joia, Colar",1,Suspeito
192.168.246.124,61,391,97,22,0,0,"Adaga, Cristal, Lança, Arco",1,Suspeito
192.168.206.141,91,249,79,10,0,1,"Flecha, Anel, Mapa, Espada",1,Suspeito
192.168.12.162,67,329,144,10,0,1,"Chave, Escudo, Anel, Botas",1,Suspeito
192.168.243.154,92,286,45,0,0,1,"Tomo, Escudo, Martelo, Adaga",0,Legítimo
192.168.209.226,50,421,147,15,0,0,"Escudo, Poção, Luvas, Anel",1,Suspeito
192.168.59.55,65,336,57,38,1,0,"Arco, Botas, Mapa, Espada",1,Suspeito
192.168.156.105,62,497,123,40,1,0,"Cristal, Escudo, Espada, Poção",0,Suspeito
192.168.215.230,61,216,71,10,0,1,"Anel, Chave, Elmo, Botas",0,Legítimo
192.168.91.61,53,306,47,48,1,1,"Anel, Flecha, Adaga, Tomo",0,Suspeito
192.168.200.71,59,345,133,25,1,1,"Mapa, Foco, Armadura, Tomo",0,Suspeito
192.168.210.109,78,351,67,46,0,1,"Flecha, Colar, Joia, Espada",0,Suspeito
192.168.171.25,64,295,109,36,0,1,"Anel, Cristal, Lança, Poção",0,Suspeito
192.168.160.116,71,419,98,36,1,0,"Foco, Luvas, Poção, Espada",0,Suspeito
192.168.150.43,69,463,87,4,1,1,"Chave, Escudo, Poção, Adaga",1,Suspeito
192.168.188.221,94,482,89,11,0,1,"Cristal, Tomo, Martelo, Lança",0,Legítimo
192.168.56.25,96,442,118,0,1,1,"Foco, Elmo, Cristal, Chave",1,Suspeito
192.168.7.164,75,456,40,36,0,0,"Tomo, Cristal, Flecha, Adaga",1,Suspeito
192.168.155.140,66,365,110,17,0,1,"Luvas, Tomo, Joia, Espada",1,Suspeito
192.168.60.100,55,448,138,40,0,0,"Escudo, Foco, Tomo, Poção",1,Suspeito
192.168.152.127,98,291,36,17,0,0,"Cristal, Armadura, Anel, Arco",0,Legítimo
192.168.252.35,53,319,47,41,1,1,"Joia, Luvas, Foco, Adaga",1,Suspeito
192.168.178.104,65,295,116,6,1,1,"Poção, Arco, Joia, Cristal",1,Suspeito
192.168.110.183,65,340,82,8,0,0,"Espada, Tomo, Martelo, Elmo",0,Legítimo
192.168.177.253,66,285,78,17,1,1,"Arco, Chave, Escudo, Flecha",0,Suspeito
192.168.33.27,58,489,46,20,1,0,"Armadura, Arco, Adaga, Espada",0,Suspeito
192.168.185.148,89,294,91,17,0,0,"Armadura, Joia, Elmo, Foco",0,Legítimo
192.168.70.21,56,229,45,38,1,0,"Adaga, Botas, Colar, Arco",0,Suspeito
192.168.22.229,82,358,87,4,0,1,"Joia, Colar, Tomo, Escudo",1,Suspeito
192.168.49.83,56,217,122,17,1,1,"Espada, Luvas, Chave, Adaga",1,Suspeito
192.168.58.91,53,233,61,42,0,1,"Flecha, Escudo, Cristal, Joia",1,Suspeito
192.168.18.133,96,266,88,3,1,1,"Arco, Espada, Martelo, Adaga",1,Suspeito
192.168.18.205,59,339,150,48,0,0,"Colar, Chave, Botas, Escudo",1,Suspeito
192.168.60.138,91,330,113,50,1,0,"Tomo, Lança, Mapa, Colar",1,Suspeito
192.168.225.166,77,440,131,4,1,1,"Armadura, Colar, Chave, Luvas",1,Suspeito
192.168.136.83,53,422,80,14,0,0,"Elmo, Lança, Anel, Poção",0,Legítimo
192.168.85.171,98,328,122,18,0,1,"Poção, Cristal, Martelo, Escudo",1,Suspeito
192.168.254.169,62,300,34,39,0,1,"Colar, Chave, Tomo, Arco",1,Suspeito
192.168.143.187,93,295,44,30,1,1,"Tomo, Espada, Elmo, Armadura",0,Suspeito
192.168.119.16,58,432,54,32,0,0,"Mapa, Martelo, Espada, Elmo",1,Suspeito
192.168.144.245,93,215,78,38,1,0,"Adaga, Lança, Mapa, Arco",1,Suspeito
192.168.45.176,50,203,132,6,0,1,"Arco, Foco, Colar, Espada",1,Suspeito
192.168.52.137,76,439,71,42,0,0,"Poção, Botas, Flecha, Escudo",0,Legítimo
192.168.25.115,89,343,109,35,0,1,"Martelo, Elmo, Adaga, Mapa",1,Suspeito
192.168.193.89,97,239,115,29,0,0,"Poção, Martelo, Mapa, Colar",0,Legítimo
192.168.170.203,96,270,100,45,1,0,"Martelo, Tomo, Escudo, Cristal",0,Legítimo
192.168.237.60,91,480,73,35,1,0,"Foco, Botas, Anel, Arco",0,Suspeito
192.168.102.39,95,458,99,10,0,0,"Cristal, Luvas, Lança, Espada",1,Legítimo
192.168.254.237,60,413,71,21,1,1,"Botas, Luvas, Arco, Joia",1,Suspeito
192.168.138.215,64,345,40,25,0,0,"Elmo, Tomo, Botas, Colar",0,Legítimo
192.168.133.160,64,356,150,2,1,0,"Elmo, Joia, Tomo, Armadura",1,Suspeito
192.168.23.193,69,493,45,48,0,0,"Escudo, Flecha, Joia, Elmo",0,Legítimo
192.168.33.211,70,490,38,6,1,0,"Armadura, Arco, Colar, Flecha",0,Suspeito
192.168.200.181,77,264,136,35,1,0,"Armadura, Martelo, Lança, Foco",1,Suspeito
192.168.10.78,58,444,66,25,0,0,"Botas, Chave, Colar, Tomo",0,Legítimo
192.168.68.92,85,259,108,1,1,1,"Poção, Chave, Foco, Joia",1,Suspeito
192.168.23.239,58,264,69,47,0,1,"Lança, Chave, Adaga, Colar",0,Suspeito
192.168.142.78,65,403,77,43,0,1,"Foco, Luvas, Lança, Cristal",0,Suspeito
192.168.102.115,75,321,61,26,0,1,"Flecha, Arco, Tomo, Elmo",1,Suspeito
192.168.154.132,90,480,71,11,0,0,"Poção, Elmo, Armadura, Mapa",1,Legítimo
192.168.235.127,87,226,79,6,0,1,"Tomo, Botas, Joia, Chave",0,Legítimo
192.168.254.218,82,353,117,18,0,1,"Botas, Joia, Martelo, Arco",1,Suspeito
192.168.54.238,57,476,91,13,0,0,"Flecha, Cristal, Adaga, Luvas",1,Suspeito
192.168.30.209,77,472,144,25,0,1,"Tomo, Espada, Lança, Adaga",1,Suspeito
192.168.98.224,54,247,35,49,1,0,"Arco, Cristal, Adaga, Joia",0,Suspeito
192.168.222.206,69,310,90,29,1,0,"Armadura, Cristal, Colar, Mapa",1,Suspeito
192.168.202.78,71,386,100,45,0,1,"Mapa, Botas, Arco, Luvas",1,Suspeito
192.168.21.103,52,247,141,33,0,0,"Lança, Flecha, Foco, Poção",0,Suspeito
192.168.45.178,63,491,35,24,0,0,"Colar, Martelo, Escudo, Foco",1,Suspeito
192.168.89.249,98,475,99,43,1,0,"Luvas, Armadura, Lança, Flecha",1,Suspeito
192.168.164.210,98,250,133,24,1,0,"Adaga, Armadura, Foco, Tomo",1,Suspeito
192.168.34.220,67,236,59,44,0,0,"Tomo, Elmo, Adaga, Colar",1,Suspeito
192.168.236.125,52,225,136,14,0,1,"Escudo, Foco, Botas, Joia",1,Suspeito
192.168.155.196,59,473,32,6,0,1,"Flecha, Colar, Luvas, Chave",1,Suspeito
192.168.45.129,70,258,118,43,0,1,"Arco, Colar, Escudo, Adaga",1,Suspeito
192.168.102.38,98,325,142,29,1,0,"Luvas, Martelo, Chave, Espada",1,Suspeito
192.168.94.18,57,335,109,45,1,1,"Botas, Flecha, Tomo, Espada",1,Suspeito
192.168.7.35,88,380,83,47,0,1,"Mapa, Chave, Colar, Poção",0,Suspeito
192.168.246.141,55,221,35,2,1,0,"Cristal, Espada, Chave, Foco",0,Suspeito
192.168.247.111,100,268,141,25,0,1,"Botas, Tomo, Escudo, Anel",1,Suspeito
192.168.80.130,69,480,86,19,0,1,"Elmo, Lança, Chave, Cristal",0,Suspeito
192.168.113.27,89,473,33,31,1,1,"Lança, Armadura, Mapa, Elmo",1,Suspeito
192.168.164.56,67,435,113,40,1,0,"Colar, Tomo, Espada, Armadura",1,Suspeito
192.168.158.166,82,205,88,14,0,0,"Espada, Lança, Poção, Adaga",1,Legítimo
192.168.39.16,59,298,45,28,0,1,"Chave, Arco, Anel, Botas",1,Suspeito
192.168.200.118,57,389,55,36,1,1,"Arco, Colar, Elmo, Foco",1,Suspeito
192.168.15.254,97,282,37,6,1,1,"Luvas, Martelo, Mapa, Colar",0,Suspeito
192.168.15.178,96,473,99,41,0,1,"Adaga, Armadura, Elmo, Flecha",1,Suspeito
192.168.251.61,95,390,105,30,0,1,"Botas, Chave, Elmo, Arco",0,Suspeito
192.168.37.31,81,221,91,48,0,0,"Adaga, Escudo, Cristal, Anel",0,Legítimo
192.168.78.26,91,473,128,17,1,1,"Adaga, Elmo, Mapa, Escudo",0,Suspeito
192.168.177.16,53,488,134,5,1,0,"Joia, Martelo, Chave, Cristal",0,Suspeito
192.168.130.255,67,223,104,25,0,1,"Poção, Chave, Cristal, Espada",0,Suspeito
192.168.208.157,65,360,31,4,1,1,"Poção, Cristal, Luvas, Lança",0,Suspeito
192.168.79.160,82,291,114,49,1,0,"Colar, Cristal, Tomo, Adaga",1,Suspeito
192.168.135.109,68,318,80,1,0,1,"Elmo, Joia, Espada, Armadura",1,Suspeito
192.168.34.227,57,254,98,38,0,0,"Colar, Anel, Espada, Escudo",0,Legítimo
192.168.115.50,80,373,108,26,1,0,"Cristal, Lança, Adaga, Anel",0,Suspeito
192.168.94.106,91,488,72,18,1,0,"Armadura, Flecha, Espada, Lança",1,Suspeito
192.168.212.188,69,351,140,3,1,0,"Anel, Arco, Escudo, Cristal",1,Suspeito
192.168.197.3,56,224,46,31,1,0,"Joia, Foco, Luvas, Espada",1,Suspeito
192.168.107.123,60,386,111,29,0,0,"Colar, Poção, Cristal, Tomo",0,Suspeito
192.168.5.67,62,302,30,14,0,1,"Colar, Lança, Tomo, Luvas",1,Suspeito
192.168.194.35,65,457,141,46,1,1,"Elmo, Joia, Arco, Chave",1,Suspeito
192.168.137.55,82,330,43,15,0,1,"Armadura, Poção, Colar, Espada",1,Suspeito
192.168.4.62,80,258,41,22,1,0,"Mapa, Flecha, Chave, Luvas",0,Legítimo
192.168.249.205,85,257,70,27,1,1,"Tomo, Armadura, Escudo, Colar",0,Suspeito
192.168.245.125,68,431,75,5,1,1,"Arco, Martelo, Botas, Anel",0,Suspeito
192.168.28.140,92,279,55,47,0,0,"Arco, Poção, Lança, Colar",0,Legítimo
192.168.116.216,60,430,100,19,1,1,"Espada, Lança, Arco, Escudo",1,Suspeito
192.168.26.125,73,261,83,4,1,0,"Luvas, Escudo, Botas, Colar",1,Suspeito
192.168.39.83,90,296,34,19,1,1,"Espada, Chave, Martelo, Poção",1,Suspeito
192.168.189.122,59,340,68,30,0,0,"Arco, Joia, Escudo, Colar",1,Suspeito
192.168.96.101,55,483,128,26,0,0,"Botas, Espada, Anel, Tomo",1,Suspeito
192.168.118.201,95,480,113,35,0,1,"Colar, Adaga, Chave, Poção",0,Suspeito
192.168.228.244,67,262,117,2,0,0,"Lança, Mapa, Cristal, Tomo",1,Suspeito
