IP,Inventario,Acuracia,TempoReacao,APM,TaxaHeadshots,JaFoiSuspeito,IPRepetido,SusInv,Classe
192.168.254.133,"Mira, Silenciador, Colete, MedKit",77,256,112,25,0,0,1,Legítimo
192.168.107.109,"Silenciador, Metralhadora, Torreta, Explosivo",81,247,118,95,0,0,0,Suspeito
192.168.160.130,"Submetralhadora, MedKit, Silenciador, Fuzil",100,234,34,9,0,0,0,Legítimo
192.168.225.215,"Lança-granadas, Espingarda, Silenciador, Pistola",68,347,33,24,0,0,0,Legítimo
192.168.5.175,"Capacete, Mira, GranadaInc, Revólver",92,63,55,92,0,0,0,Suspeito
192.168.196.247,"Explosivo, Lança-granadas, MedKit, Sniper",99,242,30,43,1,0,0,Suspeito
192.168.150.244,"Lança-granadas, Pistola, Sniper, Fuzil",93,68,107,16,0,0,0,Suspeito
192.168.6.203,"Colete, Explosivo, MedKit, Capacete",65,228,39,28,0,0,0,Legítimo
192.168.140.53,"Colete, MedKit, GranadaFrag, Sniper",92,196,55,22,0,0,0,Legítimo
192.168.129.110,"Revólver, Capacete, GranadaInc, Pistola",88,183,114,94,1,1,0,Suspeito
192.168.221.39,"Lança-granadas, GranadaInc, GranadaFumo, Faca",69,104,128,19,0,0,0,Legítimo
192.168.199.120,"Capacete, Metralhadora, Fuzil, Torreta",86,222,46,52,0,0,0,Legítimo
192.168.54.143,"Espingarda, GranadaFrag, GranadaFumo, Fuzil",53,292,139,6,0,0,0,Legítimo
192.168.112.190,"Espingarda, Drone, Torreta, Faca",49,237,27,9,0,0,0,Legítimo
192.168.227.39,"Explosivo, Faca, Espingarda, Mira",76,187,100,56,0,0,0,Legítimo
192.168.183.92,"Metralhadora, Torreta, Pistola, Submetralhadora",53,313,55,95,0,0,0,Legítimo
192.168.174.145,"Torreta, Espingarda, Faca, Lança-granadas",53,284,28,53,0,0,0,Legítimo
192.168.24.223,"Torreta, Mira, GranadaFrag, GranadaFumo",44,229,131,91,0,0,0,Legítimo
192.168.1.166,"Submetralhadora, Espingarda, Silenciador, Colete",78,357,141,78,0,0,1,Suspeito
192.168.34.171,"Metralhadora, Revólver, Lança-granadas, Torreta",94,168,43,3,0,0,0,Legítimo
192.168.16.197,"MedKit, Drone, Silenciador, GranadaFumo",61,251,38,43,0,0,0,Legítimo
192.168.134.53,"GranadaFrag, Revólver, Faca, Drone",63,63,22,86,0,0,0,Suspeito
192.168.202.239,"Mira, MedKit, Explosivo, Espingarda",63,75,92,53,0,0,0,Legítimo
192.168.177.245,"GranadaFumo, Fuzil, Pistola, Drone",97,127,48,85,0,0,0,Suspeito
192.168.30.220,"Colete, Revólver, Lança-granadas, Sniper",99,337,150,61,0,0,0,Legítimo
192.168.29.169,"Colete, GranadaFrag, Pistola, Revólver",62,217,33,49,1,0,0,Legítimo
192.168.152.227,"Espingarda, Explosivo, Fuzil, Silenciador",95,278,92,84,0,0,0,Legítimo
192.168.56.126,"Sniper, Metralhadora, GranadaFumo, Silenciador",74,373,76,34,0,0,0,Legítimo
192.168.102.55,"Lança-granadas, GranadaFrag, Colete, Pistola",80,95,60,37,0,0,0,Legítimo
192.168.205.175,"Fuzil, Torreta, Espingarda, Metralhadora",66,161,74,50,0,0,0,Legítimo
192.168.170.243,"Torreta, Explosivo, Colete, Mira",70,367,61,4,0,0,0,Legítimo
192.168.100.129,"Metralhadora, Drone, GranadaFrag, Colete",78,128,65,86,0,0,0,Legítimo
192.168.204.211,"Submetralhadora, Sniper, GranadaInc, Silenciador",44,399,73,64,0,0,0,Legítimo
192.168.85.34,"GranadaFumo, GranadaFrag, Explosivo, Silenciador",44,320,105,68,0,0,0,Legítimo
192.168.147.145,"Revólver, GranadaInc, Silenciador, Metralhadora",65,127,61,69,0,0,0,Legítimo
192.168.140.179,"Mira, Revólver, GranadaFrag, Pistola",76,277,87,54,0,0,0,Legítimo
192.168.75.20,"Colete, Faca, Sniper, Espingarda",74,338,149,80,1,0,0,Suspeito
192.168.126.145,"Capacete, Faca, Submetralhadora, Silenciador",42,58,128,32,0,0,1,Suspeito
192.168.106.155,"MedKit, Fuzil, Colete, Lança-granadas",70,214,78,88,0,0,0,Legítimo
192.168.32.204,"Sniper, Lança-granadas, MedKit, GranadaFrag",76,61,99,52,0,0,0,Legítimo
192.168.135.11,"Lança-granadas, GranadaInc, Faca, Capacete",47,368,86,17,0,0,0,Legítimo
192.168.228.57,"Faca, Drone, GranadaFrag, Pistola",85,352,20,22,0,0,0,Legítimo
192.168.54.12,"Explosivo, Drone, Mira, Metralhadora",97,285,146,34,0,0,0,Legítimo
192.168.106.64,"Mira, Explosivo, MedKit, GranadaFrag",93,126,124,66,0,0,0,Suspeito
192.168.61.73,"Metralhadora, Sniper, MedKit, Pistola",44,200,67,84,0,0,0,Legítimo
192.168.251.226,"GranadaFumo, GranadaInc, Mira, Metralhadora",94,82,150,82,0,0,0,Suspeito
192.168.78.93,"Faca, Pistola, Torreta, Lança-granadas",40,209,98,83,0,0,0,Legítimo
192.168.79.86,"Revólver, Espingarda, Submetralhadora, GranadaFrag",99,95,58,3,0,0,0,Legítimo
192.168.204.32,"Capacete, Metralhadora, GranadaFumo, GranadaFrag",43,137,83,71,0,0,0,Legítimo
192.168.3.222,"Mira, Faca, Espingarda, GranadaFumo",89,52,52,88,0,0,0,Suspeito
192.168.174.251,"Lança-granadas, Fuzil, Pistola, Revólver",80,294,101,20,0,0,0,Legítimo
192.168.56.86,"Torreta, Sniper, GranadaFumo, MedKit",62,108,150,86,0,0,0,Suspeito
192.168.84.28,"Mira, MedKit, Pistola, Explosivo",40,56,85,17,0,0,0,Legítimo
192.168.20.210,"Revólver, Fuzil, Espingarda, Sniper",84,385,92,82,0,0,0,Legítimo
192.168.171.188,"Metralhadora, Espingarda, Submetralhadora, Colete",65,174,90,34,0,0,0,Legítimo
192.168.53.59,"GranadaFrag, Submetralhadora, Metralhadora, Mira",90,223,80,54,0,0,0,Legítimo
192.168.124.197,"GranadaFumo, Explosivo, Fuzil, Lança-granadas",100,174,118,7,0,0,0,Suspeito
192.168.124.152,"GranadaFrag, Revólver, Silenciador, Submetralhadora",52,385,87,48,0,0,0,Legítimo
192.168.98.175,"Torreta, Colete, Lança-granadas, Capacete",64,304,91,72,0,1,1,Suspeito
192.168.148.217,"Espingarda, Mira, Metralhadora, Pistola",44,102,40,73,0,1,0,Suspeito
192.168.136.93,"Fuzil, Metralhadora, Revólver, GranadaInc",72,170,33,48,0,0,0,Legítimo
192.168.213.161,"Silenciador, Lança-granadas, Faca, Sniper",55,365,27,57,0,0,0,Legítimo
192.168.119.163,"GranadaInc, Lança-granadas, Faca, Colete",80,240,61,66,0,0,0,Legítimo
192.168.144.232,"Torreta, Submetralhadora, Faca, MedKit",57,274,95,96,0,1,0,Legítimo
192.168.131.208,"Pistola, Mira, Drone, GranadaInc",70,304,83,8,0,0,0,Legítimo
192.168.132.158,"Fuzil, Submetralhadora, Colete, Revólver",66,59,69,9,0,0,0,Legítimo
192.168.6.66,"Submetralhadora, Colete, Metralhadora, Torreta",78,372,48,95,0,0,0,Legítimo
192.168.241.18,"Lança-granadas, Capacete, GranadaFumo, Torreta",69,150,89,74,0,0,0,Legítimo
192.168.7.142,"Explosivo, GranadaFumo, Torreta, Submetralhadora",74,145,100,84,0,0,0,Legítimo
192.168.53.6,"Sniper, Lança-granadas, Torreta, Fuzil",80,127,82,98,0,0,0,Legítimo
192.168.168.179,"Revólver, Capacete, Faca, GranadaInc",88,370,62,21,0,0,0,Legítimo
192.168.66.1,"Faca, GranadaInc, Metralhadora, Silenciador",67,199,45,73,0,1,0,Suspeito
192.168.210.112,"Sniper, MedKit, Espingarda, Fuzil",63,266,142,12,0,0,0,Legítimo
192.168.77.92,"Fuzil, Espingarda, Explosivo, Revólver",47,221,110,70,0,0,0,Legítimo
192.168.172.255,"Pistola, Explosivo, MedKit, Silenciador",91,240,143,7,0,0,0,Legítimo
192.168.104.220,"Metralhadora, Mira, Faca, Revólver",80,95,55,80,0,0,0,Legítimo
192.168.121.255,"MedKit, Sniper, Silenciador, Torreta",84,103,133,22,0,0,0,Suspeito
192.168.242.93,"Submetralhadora, Silenciador, Espingarda, Mira",64,132,48,80,0,0,0,Legítimo
192.168.119.224,"Torreta, MedKit, Mira, Metralhadora",45,56,146,21,0,0,0,Legítimo
192.168.154.234,"Faca, Pistola, GranadaFumo, Metralhadora",91,244,141,8,0,0,0,Legítimo
192.168.1.35,"Mira, Explosivo, GranadaFumo, Espingarda",54,391,21,88,0,0,0,Legítimo
192.168.39.120,"Fuzil, Silenciador, Revólver, MedKit",68,396,114,16,0,0,0,Legítimo
192.168.194.236,"Faca, Capacete, GranadaFrag, Colete",50,219,101,22,0,0,0,Legítimo
192.168.200.22,"Espingarda, Mira, Lança-granadas, GranadaInc",57,168,26,91,0,0,0,Suspeito
192.168.87.224,"Espingarda, Metralhadora, Pistola, Fuzil",44,393,106,62,1,0,0,Legítimo
192.168.179.198,"Lança-granadas, Metralhadora, GranadaFumo, Sniper",52,271,96,64,0,0,0,Legítimo
192.168.125.251,"Submetralhadora, Metralhadora, MedKit, Fuzil",46,72,95,43,0,0,0,Legítimo
192.168.209.155,"Sniper, Torreta, Revólver, Metralhadora",70,310,52,61,0,1,0,Legítimo
192.168.64.142,"Sniper, GranadaFumo, Mira, Submetralhadora",56,313,52,78,0,0,0,Legítimo
192.168.180.220,"Espingarda, GranadaFumo, Mira, Torreta",84,258,43,64,0,0,0,Legítimo
192.168.77.17,"Explosivo, Lança-granadas, Submetralhadora, Silenciador",45,147,22,6,0,0,0,Legítimo
192.168.200.147,"GranadaFrag, Submetralhadora, Pistola, Explosivo",90,52,150,96,0,0,0,Suspeito
192.168.80.126,"Colete, Sniper, Revólver, Pistola",66,304,40,92,0,0,0,Legítimo
192.168.129.134,"Pistola, Revólver, Mira, Drone",54,146,22,63,0,0,0,Legítimo
192.168.239.230,"Metralhadora, Mira, GranadaInc, Explosivo",78,226,65,59,0,0,0,Legítimo
192.168.173.58,"Faca, Drone, Revólver, GranadaFrag",94,365,97,10,0,1,0,Legítimo
192.168.30.246,"GranadaInc, Mira, GranadaFumo, MedKit",78,137,29,68,0,0,0,Legítimo
192.168.170.76,"Fuzil, Explosivo, Submetralhadora, Drone",62,344,71,65,0,0,0,Legítimo
192.168.62.74,"GranadaFumo, Faca, MedKit, Fuzil",93,88,22,26,0,0,0,Suspeito
192.168.89.207,"Silenciador, Lança-granadas, Drone, Metralhadora",62,154,79,54,0,1,0,Legítimo
192.168.78.10,"Revólver, Metralhadora, Espingarda, Faca",95,62,125,95,0,0,0,Suspeito
192.168.22.86,"Colete, Mira, Capacete, Metralhadora",56,116,131,92,0,0,0,Suspeito
192.168.219.106,"GranadaFumo, GranadaFrag, Pistola, Torreta",50,326,107,37,0,0,0,Legítimo
192.168.134.252,"Pistola, GranadaFumo, Torreta, Capacete",82,312,104,23,0,0,1,Suspeito
192.168.232.224,"Submetralhadora, Espingarda, Silenciador, Sniper",73,331,83,84,0,0,0,Legítimo
192.168.236.42,"MedKit, Submetralhadora, Colete, GranadaInc",79,167,124,76,0,0,0,Suspeito
192.168.125.112,"Sniper, GranadaFumo, Faca, GranadaFrag",77,340,103,67,0,0,0,Legítimo
192.168.43.125,"GranadaFrag, Faca, Mira, Espingarda",97,66,95,59,0,0,0,Legítimo
192.168.192.181,"Colete, Submetralhadora, Faca, Lança-granadas",60,130,96,85,0,0,0,Legítimo
192.168.28.34,"MedKit, Revólver, Torreta, Faca",90,350,73,15,0,0,0,Legítimo
192.168.115.168,"Torreta, Submetralhadora, MedKit, Mira",73,106,138,99,0,0,0,Suspeito
192.168.184.52,"Metralhadora, Mira, Torreta, Revólver",56,315,149,69,0,0,0,Legítimo
192.168.154.139,"Lança-granadas, Submetralhadora, Explosivo, Torreta",65,205,67,74,0,1,0,Legítimo
192.168.191.255,"Metralhadora, Pistola, MedKit, GranadaFumo",78,91,134,64,1,0,0,Suspeito
192.168.248.96,"GranadaInc, GranadaFrag, Submetralhadora, Mira",94,91,139,42,1,0,0,Suspeito
192.168.229.217,"Faca, Silenciador, Torreta, GranadaInc",56,244,83,60,0,0,0,Legítimo
192.168.189.132,"Mira, Faca, Espingarda, Sniper",92,230,92,88,0,0,0,Legítimo
192.168.55.59,"GranadaFumo, Pistola, Colete, GranadaInc",51,319,36,75,0,0,0,Legítimo
192.168.207.185,"Mira, Sniper, Submetralhadora, GranadaFumo",95,220,92,13,0,0,0,Legítimo
192.168.27.244,"Torreta, Capacete, Fuzil, Mira",87,383,20,3,0,0,0,Legítimo
192.168.47.112,"Fuzil, Drone, Silenciador, Faca",41,181,93,95,0,0,0,Legítimo
192.168.89.31,"GranadaInc, Lança-granadas, Fuzil, MedKit",42,262,60,64,0,0,0,Legítimo
192.168.145.113,"Metralhadora, Capacete, Silenciador, MedKit",64,120,28,75,0,1,0,Suspeito
192.168.217.29,"Pistola, GranadaFrag, Metralhadora, Torreta",75,379,25,3,0,0,0,Legítimo
192.168.78.16,"Faca, Torreta, Drone, Metralhadora",68,176,71,34,0,0,0,Legítimo
192.168.242.49,"GranadaInc, GranadaFumo, Mira, MedKit",77,303,122,81,0,0,0,Legítimo
192.168.52.220,"Fuzil, Colete, Espingarda, Drone",88,332,133,70,0,0,0,Legítimo
192.168.228.158,"MedKit, GranadaFrag, Mira, Revólver",85,330,133,45,0,0,0,Legítimo
192.168.41.235,"Mira, Explosivo, Torreta, Metralhadora",92,397,130,58,0,0,0,Legítimo
192.168.252.113,"Revólver, Capacete, GranadaInc, Mira",91,202,137,65,0,0,0,Legítimo
192.168.18.165,"GranadaFrag, Explosivo, Mira, Capacete",65,210,140,59,0,0,0,Legítimo
192.168.218.228,"Colete, Lança-granadas, Drone, Faca",64,65,103,81,0,0,0,Suspeito
192.168.247.141,"Explosivo, Revólver, Capacete, Silenciador",69,112,119,38,0,0,0,Legítimo
192.168.7.238,"GranadaFumo, Silenciador, GranadaFrag, Capacete",72,167,98,22,0,0,0,Legítimo
192.168.85.138,"Drone, GranadaFrag, Explosivo, Metralhadora",50,381,100,18,0,0,0,Legítimo
192.168.74.249,"Torreta, GranadaInc, Pistola, Capacete",80,220,132,5,0,0,1,Legítimo
192.168.243.144,"Colete, GranadaFrag, Metralhadora, Drone",51,112,125,18,0,0,0,Legítimo
192.168.154.74,"Drone, Fuzil, GranadaInc, GranadaFrag",63,275,31,22,0,0,0,Legítimo
192.168.112.251,"GranadaFumo, Fuzil, Metralhadora, Mira",51,225,129,74,0,0,0,Legítimo
192.168.108.123,"Pistola, Explosivo, Fuzil, Torreta",63,322,84,74,0,1,0,Legítimo
192.168.140.153,"GranadaFumo, Explosivo, Sniper, Silenciador",76,139,138,22,0,0,0,Legítimo
192.168.192.72,"Capacete, GranadaFumo, Drone, Lança-granadas",63,229,67,22,0,0,0,Legítimo
192.168.252.142,"Drone, Sniper, GranadaFrag, Metralhadora",43,284,146,78,0,0,0,Legítimo
192.168.127.66,"GranadaFrag, Drone, Faca, Capacete",92,109,134,92,0,0,0,Suspeito
192.168.144.165,"Explosivo, Metralhadora, Drone, MedKit",76,175,97,65,0,0,0,Legítimo
192.168.217.83,"Drone, Faca, GranadaFrag, Fuzil",98,151,112,100,1,0,0,Suspeito
192.168.187.87,"Explosivo, Fuzil, Metralhadora, GranadaInc",71,230,57,38,0,0,0,Legítimo
192.168.34.147,"Mira, Silenciador, Submetralhadora, Lança-granadas",93,105,101,2,0,0,0,Suspeito
192.168.7.217,"Faca, Revólver, Silenciador, Fuzil",58,393,136,53,0,0,0,Legítimo
192.168.104.193,"Fuzil, GranadaInc, GranadaFumo, Metralhadora",79,327,136,89,0,0,0,Legítimo
192.168.24.128,"Sniper, Faca, Drone, MedKit",86,169,126,89,0,0,0,Suspeito
192.168.128.73,"Lança-granadas, Espingarda, Submetralhadora, Drone",67,145,49,33,0,0,0,Legítimo
192.168.116.42,"Revólver, Silenciador, Faca, Fuzil",46,64,81,69,0,0,0,Legítimo
192.168.136.239,"GranadaFumo, Colete, Torreta, Submetralhadora",51,366,60,76,0,0,0,Legítimo
192.168.230.47,"Colete, GranadaInc, Sniper, Revólver",98,347,48,25,0,0,0,Legítimo
192.168.246.255,"Colete, MedKit, Torreta, Faca",42,389,68,59,0,0,0,Legítimo
192.168.87.9,"Colete, Submetralhadora, Revólver, Drone",71,172,52,91,0,0,0,Legítimo
192.168.61.123,"GranadaInc, Submetralhadora, Pistola, Metralhadora",99,187,46,59,0,0,0,Legítimo
192.168.4.1,"Torreta, GranadaFumo, Metralhadora, GranadaInc",46,63,32,11,0,0,0,Legítimo
192.168.107.189,"Silenciador, MedKit, Drone, Capacete",41,362,128,25,0,0,0,Legítimo
192.168.163.215,"Explosivo, Sniper, GranadaFumo, Faca",96,182,67,27,0,0,0,Legítimo
192.168.94.113,"Silenciador, GranadaInc, Pistola, Explosivo",60,398,143,61,0,0,0,Legítimo
192.168.112.148,"GranadaFrag, Sniper, Capacete, MedKit",89,78,52,80,0,0,0,Suspeito
192.168.107.232,"Faca, Drone, MedKit, Explosivo",82,205,50,81,0,0,0,Legítimo
192.168.108.71,"Submetralhadora, MedKit, Torreta, Capacete",55,147,74,97,0,0,0,Legítimo
192.168.197.196,"Fuzil, Lança-granadas, Pistola, Sniper",66,258,67,62,0,0,0,Legítimo
192.168.206.88,"Mira, GranadaInc, Silenciador, MedKit",82,242,107,50,0,0,0,Legítimo
192.168.93.133,"GranadaFrag, Capacete, Metralhadora, Lança-granadas",62,314,118,26,0,0,0,Legítimo
192.168.123.50,"Pistola, Fuzil, Revólver, GranadaInc",76,126,77,24,0,0,0,Legítimo
192.168.20.35,"Mira, MedKit, GranadaFrag, Pistola",72,361,134,93,0,0,0,Legítimo
192.168.120.74,"Lança-granadas, MedKit, Submetralhadora, Sniper",79,67,123,49,1,1,0,Suspeito
192.168.135.123,"Lança-granadas, Explosivo, GranadaFrag, Metralhadora",89,373,76,40,0,0,0,Legítimo
192.168.113.24,"Espingarda, Colete, Submetralhadora, Torreta",43,62,46,27,1,0,0,Legítimo
192.168.237.143,"GranadaFumo, Sniper, Explosivo, Pistola",50,111,118,75,0,0,0,Suspeito
192.168.205.156,"GranadaFumo, Capacete, Fuzil, Faca",42,76,70,49,0,0,0,Legítimo
192.168.119.140,"Explosivo, Fuzil, Faca, Drone",91,318,118,47,0,0,0,Legítimo
192.168.23.177,"GranadaFrag, Mira, Lança-granadas, Colete",88,145,38,66,0,0,0,Suspeito
192.168.24.190,"Submetralhadora, Sniper, Torreta, Silenciador",72,247,31,86,0,0,0,Legítimo
192.168.200.25,"Metralhadora, Lança-granadas, Mira, GranadaFumo",77,70,134,12,0,0,0,Legítimo
192.168.113.248,"Pistola, Faca, Colete, Explosivo",93,156,111,48,0,1,0,Suspeito
192.168.99.221,"Lança-granadas, Silenciador, Capacete, Drone",83,227,69,8,0,0,0,Legítimo
192.168.79.194,"GranadaInc, GranadaFumo, Colete, Submetralhadora",44,396,117,88,0,0,0,Legítimo
192.168.113.77,"Metralhadora, Revólver, Silenciador, Lança-granadas",53,351,67,38,0,0,0,Legítimo
192.168.220.153,"Torreta, Fuzil, Sniper, Mira",95,254,26,92,0,0,0,Suspeito
192.168.33.109,"MedKit, Faca, Fuzil, GranadaFumo",62,197,68,18,0,0,0,Legítimo
192.168.40.88,"GranadaInc, Silenciador, Fuzil, Faca",74,64,51,52,0,0,0,Legítimo
192.168.109.73,"MedKit, Espingarda, Metralhadora, GranadaInc",42,99,70,8,0,0,0,Legítimo
192.168.130.16,"Colete, Fuzil, Sniper, GranadaFrag",63,280,58,8,0,0,0,Legítimo
192.168.210.124,"Capacete, MedKit, Pistola, Metralhadora",44,329,129,38,0,0,0,Legítimo
192.168.121.211,"Espingarda, Faca, Submetralhadora, Lança-granadas",65,166,57,5,0,0,0,Legítimo
192.168.192.224,"Capacete, Metralhadora, MedKit, Fuzil",65,158,78,36,0,0,0,Legítimo
192.168.180.74,"GranadaFumo, Sniper, Revólver, Capacete",93,271,41,41,0,0,0,Legítimo
192.168.178.71,"MedKit, Faca, Torreta, Espingarda",92,235,28,52,0,0,0,Legítimo
192.168.25.139,"Metralhadora, Torreta, GranadaFumo, Explosivo",88,285,106,98,1,0,0,Suspeito
192.168.241.215,"Capacete, MedKit, Explosivo, GranadaFrag",88,341,101,8,0,0,0,Legítimo
192.168.156.100,"Fuzil, GranadaInc, Lança-granadas, Capacete",76,101,100,17,0,0,0,Legítimo
192.168.13.250,"Silenciador, Explosivo, Torreta, Submetralhadora",80,238,38,56,0,0,0,Legítimo
192.168.128.98,"Lança-granadas, GranadaFrag, Fuzil, Revólver",55,123,143,45,0,0,0,Legítimo
192.168.172.213,"Mira, Pistola, Espingarda, GranadaInc",51,333,130,80,0,0,0,Legítimo
192.168.86.12,"Capacete, Colete, Silenciador, Lança-granadas",49,209,67,4,0,0,0,Legítimo
192.168.182.253,"MedKit, Silenciador, GranadaFumo, Mira",44,221,23,70,0,0,0,Legítimo
192.168.233.103,"Submetralhadora, Drone, GranadaFrag, Torreta",71,246,80,7,0,0,0,Legítimo
192.168.119.214,"Mira, Sniper, MedKit, GranadaInc",83,69,37,1,1,0,0,Suspeito
192.168.159.31,"Submetralhadora, Capacete, Explosivo, Pistola",98,218,61,38,0,0,0,Legítimo
192.168.6.203,"Espingarda, Lança-granadas, Sniper, GranadaFrag",47,72,100,36,0,1,0,Legítimo
192.168.68.211,"Lança-granadas, Espingarda, Submetralhadora, Capacete",76,306,64,56,0,0,0,Legítimo
192.168.188.90,"Explosivo, Pistola, Faca, Revólver",63,78,100,83,0,0,0,Legítimo
192.168.251.215,"GranadaInc, MedKit, Torreta, Metralhadora",42,179,76,94,1,0,0,Suspeito
192.168.116.173,"Capacete, Lança-granadas, GranadaFrag, Submetralhadora",76,160,93,39,0,0,0,Legítimo
192.168.89.99,"Capacete, GranadaFrag, Lança-granadas, Silenciador",61,288,50,53,0,0,0,Legítimo
192.168.61.90,"GranadaFumo, Submetralhadora, Silenciador, Torreta",66,316,136,25,0,0,1,Legítimo
192.168.249.188,"Espingarda, Pistola, GranadaFrag, Revólver",78,170,141,79,0,0,0,Suspeito
192.168.243.91,"Fuzil, Submetralhadora, MedKit, Silenciador",50,312,91,24,0,0,0,Legítimo
192.168.167.193,"Capacete, GranadaFrag, Metralhadora, MedKit",65,170,147,96,0,0,0,Suspeito
192.168.211.160,"GranadaFrag, MedKit, Sniper, Mira",55,357,135,32,0,0,0,Legítimo
192.168.222.56,"GranadaInc, Explosivo, Metralhadora, Lança-granadas",65,164,76,7,0,0,0,Legítimo
192.168.112.50,"Espingarda, Silenciador, Lança-granadas, GranadaInc",80,131,84,85,0,0,0,Legítimo
192.168.5.104,"GranadaInc, GranadaFumo, Drone, Lança-granadas",77,215,92,71,0,0,0,Legítimo
192.168.232.27,"Pistola, Capacete, Torreta, Revólver",80,367,36,87,0,0,1,Suspeito
192.168.223.221,"Drone, GranadaFumo, Faca, Pistola",54,51,68,16,0,0,0,Legítimo
192.168.232.35,"Mira, Fuzil, MedKit, Explosivo",45,204,67,36,0,1,0,Legítimo
192.168.148.122,"Silenciador, Pistola, Revólver, MedKit",54,362,130,90,0,0,0,Legítimo
192.168.207.172,"GranadaFumo, Fuzil, Capacete, Revólver",42,321,79,53,0,0,0,Legítimo
192.168.249.138,"Explosivo, GranadaFrag, Lança-granadas, Silenciador",72,159,52,2,0,0,0,Legítimo
192.168.23.58,"Mira, Espingarda, Explosivo, Pistola",51,377,78,73,0,0,0,Legítimo
192.168.101.204,"Revólver, GranadaFumo, Explosivo, Faca",68,147,82,53,1,0,0,Legítimo
192.168.20.215,"Torreta, Submetralhadora, GranadaFrag, Pistola",96,208,53,74,0,0,0,Legítimo
192.168.94.132,"Torreta, Faca, Espingarda, Drone",42,328,63,38,0,1,0,Legítimo
192.168.235.74,"Faca, Lança-granadas, Capacete, GranadaFrag",85,171,87,94,0,0,0,Suspeito
192.168.50.142,"Lança-granadas, Silenciador, GranadaFumo, Torreta",43,92,132,62,0,0,0,Legítimo
192.168.78.135,"GranadaFumo, Mira, Capacete, Pistola",61,105,118,17,0,0,0,Legítimo
192.168.229.106,"Drone, Faca, Torreta, GranadaFrag",95,52,100,69,1,0,0,Suspeito
192.168.112.163,"Capacete, GranadaFumo, MedKit, Espingarda",63,187,125,2,0,1,0,Suspeito
192.168.15.3,"Submetralhadora, Drone, MedKit, GranadaFumo",98,334,123,87,0,0,0,Suspeito
192.168.239.102,"GranadaInc, Lança-granadas, Mira, Pistola",77,165,54,7,1,0,0,Legítimo
192.168.92.132,"Torreta, GranadaFrag, Pistola, Lança-granadas",67,346,149,29,0,0,0,Legítimo
192.168.187.185,"Torreta, Metralhadora, Explosivo, Faca",57,83,52,14,0,0,0,Legítimo
192.168.125.58,"Faca, Revólver, Explosivo, Lança-granadas",43,140,30,54,0,0,0,Legítimo
192.168.90.65,"Fuzil, Revólver, Submetralhadora, GranadaFumo",92,172,65,5,0,1,0,Suspeito
192.168.61.181,"Colete, Lança-granadas, Capacete, GranadaFumo",41,108,90,69,0,0,0,Legítimo
192.168.147.69,"Faca, MedKit, GranadaInc, Colete",45,138,75,83,0,0,0,Legítimo
192.168.182.48,"Submetralhadora, Revólver, GranadaFumo, Torreta",92,259,106,84,0,0,0,Suspeito
192.168.53.12,"Torreta, Sniper, Fuzil, Espingarda",72,189,22,56,0,0,0,Legítimo
192.168.216.216,"Capacete, Revólver, Explosivo, GranadaFumo",49,382,65,55,0,0,0,Legítimo
192.168.95.16,"MedKit, Faca, Revólver, Drone",83,374,104,31,0,0,0,Legítimo
192.168.255.188,"Metralhadora, Espingarda, Capacete, Drone",49,192,45,37,0,0,1,Legítimo
192.168.226.141,"Lança-granadas, Espingarda, Torreta, MedKit",97,177,87,79,0,0,0,Suspeito
192.168.71.34,"GranadaFumo, Submetralhadora, Drone, Metralhadora",84,162,118,32,0,0,0,Suspeito
192.168.154.33,"GranadaFumo, Mira, Faca, Explosivo",97,390,133,26,0,0,0,Legítimo
192.168.115.13,"Mira, GranadaInc, MedKit, Metralhadora",87,302,115,8,1,0,0,Suspeito
192.168.49.75,"Revólver, Espingarda, Colete, GranadaInc",56,346,107,2,0,0,0,Legítimo
192.168.77.99,"Revólver, Colete, Submetralhadora, GranadaFrag",89,189,138,46,0,0,0,Suspeito
192.168.143.11,"Fuzil, Espingarda, Pistola, Revólver",73,385,55,25,0,0,0,Legítimo
192.168.179.75,"Drone, Revólver, Torreta, GranadaFumo",58,189,46,92,1,0,0,Suspeito
192.168.18.137,"GranadaFumo, Explosivo, Mira, Colete",52,334,122,25,0,0,0,Legítimo
192.168.134.7,"Faca, GranadaInc, GranadaFumo, Sniper",88,237,83,73,0,0,0,Legítimo
192.168.2.190,"Fuzil, Capacete, Espingarda, Drone",88,222,130,23,0,0,1,Suspeito
192.168.249.71,"Lança-granadas, Sniper, MedKit, Mira",96,193,104,18,0,0,0,Suspeito
192.168.84.218,"GranadaFrag, Torreta, Faca, Mira",54,181,143,36,0,0,0,Legítimo
192.168.75.226,"MedKit, Silenciador, Fuzil, Metralhadora",86,172,40,55,0,0,0,Legítimo
192.168.175.44,"Espingarda, Fuzil, Mira, Submetralhadora",52,357,86,58,0,0,0,Legítimo
192.168.97.48,"Pistola, Colete, GranadaFumo, Revólver",81,87,24,78,0,0,0,Suspeito
192.168.141.175,"GranadaFumo, GranadaInc, Mira, Silenciador",54,366,149,30,0,0,0,Legítimo
192.168.219.54,"Capacete, GranadaFumo, Revólver, Lança-granadas",80,360,43,47,0,0,0,Legítimo
192.168.150.40,"Espingarda, Explosivo, GranadaInc, Mira",81,243,101,67,0,0,0,Legítimo
